,Age0to24,Age0to24percent,Age25to44,Age25to44percent,Age45to64,Age45to64percent,Age65up,Age65uppercent,Inc0to15,Inc0to15percent,Inc100up,Inc100uppercent,Inc15to25,Inc15to25percent,Inc25to35,Inc25to35percent,Inc35to50,Inc35to50percent,Inc50to75,Inc50to75percent,Inc75to100,Inc75to100percent,Median Age,Median Income
"Non CMA-CA, Yukon",1749.0,17.0,1515.0,17.0,1865.0,17.0,699.0,17.0,1224.0,21.0,291.0,5.0,991.0,17.0,816.0,14.0,991.0,17.0,991.0,17.0,524.0,9.0,39.0,28520.0
"Norfolk, Ontario",13705.0,17.0,9924.0,17.0,14178.0,17.0,9452.0,17.0,10869.0,23.0,1890.0,4.0,9924.0,21.0,6616.0,14.0,8034.0,17.0,6616.0,14.0,3308.0,7.0,42.0,25840.0
"North Battleford, Saskatchewan",5383.0,19.0,3845.0,19.0,3845.0,19.0,2307.0,19.0,3076.0,20.0,1076.0,7.0,2614.0,17.0,2307.0,15.0,2922.0,19.0,2307.0,15.0,1076.0,7.0,38.0,32960.0
"North Bay, Ontario",14726.0,17.0,12187.0,17.0,14726.0,17.0,9140.0,17.0,11171.0,22.0,3046.0,6.0,9648.0,19.0,6093.0,12.0,8632.0,17.0,8632.0,17.0,3554.0,7.0,41.0,31440.0
"Okotoks, Alberta",8165.0,13.0,6400.0,13.0,5517.0,13.0,1986.0,13.0,4193.0,19.0,3751.0,17.0,2869.0,13.0,2207.0,10.0,2869.0,13.0,3751.0,17.0,2427.0,11.0,34.0,41580.0
"Orillia, Ontario",10300.0,17.0,7459.0,17.0,10300.0,17.0,7459.0,17.0,8169.0,23.0,1420.0,4.0,7459.0,21.0,4972.0,14.0,6038.0,17.0,4972.0,14.0,2486.0,7.0,43.0,26350.0
"Oshawa, Ontario",87987.0,16.0,69323.0,16.0,71990.0,16.0,34661.0,16.0,58658.0,22.0,21330.0,8.0,39994.0,15.0,31995.0,12.0,42660.0,16.0,45327.0,17.0,26663.0,10.0,38.0,36110.0
"Ottawa - Gatineau, combined Ontario/Quebec",289164.0,15.0,251853.0,15.0,261181.0,15.0,130590.0,15.0,186558.0,20.0,93279.0,10.0,130590.0,14.0,102606.0,11.0,139918.0,15.0,177230.0,19.0,102606.0,11.0,39.0,40300.0
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",215360.0,14.0,187571.0,14.0,194518.0,14.0,97259.0,14.0,145889.0,21.0,76418.0,11.0,90312.0,13.0,69471.0,10.0,97259.0,14.0,131994.0,19.0,83365.0,12.0,39.0,41450.0
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",76185.0,17.0,64281.0,17.0,69043.0,17.0,28569.0,17.0,47616.0,20.0,14284.0,6.0,35712.0,15.0,28569.0,12.0,40473.0,17.0,47616.0,20.0,23808.0,10.0,38.0,37590.0
"Owen Sound, Ontario",6731.0,17.0,5048.0,17.0,7212.0,17.0,5048.0,17.0,5529.0,23.0,1202.0,5.0,4808.0,20.0,3606.0,15.0,4086.0,17.0,3365.0,14.0,1442.0,6.0,43.0,27270.0
